﻿BuffInfo_DLC教学特征1,Giant Roll increases Attack and Defense.,เพิ่มการโจมตีและการป้องกันอย่างมาก
main-3b_2_2,"Years ago, the Zhao Kingdom was in turmoil, both internally and externally,\nExternally, there was the menacing Yan Yun Iron Army,\nInternally, there was constant party strife, and the people were living in misery,\nAt this critical juncture of national crisis,\nA hero emerged to save the day!","หลายปีก่อน อาณาจักรจ้าว เผชิญทั้งศึกในศึกนอก บ้านเมืองสั่นคลอน\nภายนอก มีทัพเหล็กแคว้นเยี่ยนจับจ้องราวเสือร้าย\nภายใน ขุนนางแบ่งพรรคแบ่งพวก ประชาราษฎร์เดือดร้อนแสนสาหัส\nในยามวิกฤติใกล้ล่มสลาย\nปรากฏวีรบุรุษผู้หนึ่งลุกขึ้นช่วยเหลือแผ่นดิน!"
main-3b_2_3,"He single-handedly broke into the Yan army camp,\nCaptured the enemy chief Wanyan Wuzhu, and lifted the siege of Chuxiang City.\nThis forced the enemy to retreat, unable to invade the Central Plains again!","เขาลุยเดี่ยวบุกค่ายศัตรูแห่งแคว้นเยี่ยน\nจับตัวแม่ทัพหวันเหยียนอู๋จูเป็นเชลย และคลายวงล้อมเมืองฉู่เซียง\nทำให้ข้าศึกแตกพ่ายกลับแคว้น ไม่อาจรุกรานจงหยวนอีกต่อไป!"
main-3b_2_4,"Just as the foreign enemies retreated, the Zhao court stirred up trouble again,\nDuke Qi, Duke Kang, and the Chai King faction instigated internal strife among the martial arts forces, taking advantage of the situation to vie for the throne.","แต่ในขณะที่ศัตรูภายนอกถูกขับไล่ ราชสำนักจ้าวกลับเกิดความวุ่นวายขึ้นอีกครั้ง\nกลุ่มก๊กต่างๆ ของอ๋องฉี อ๋องคัง และอ๋องไฉ เปิดศึกแย่งชิงอำนาจ ยุยงให้สำนักต่างๆ ในยุทธภพห้ำหั่นกันเอง เพื่อหวังประโยชน์สร้างฐานอำนาจ"
main-3b_2_5,"All kinds of conspiracies and tricks were thwarted by the unnamed hero,\nThis hero became a thorn in the side of the princes.\nThe Imperial City Department mobilized all its forces, joined by the palace masters and various forces,\nThey set up a No Escape trap, intending to annihilate the unnamed hero in one fell swoop.\nHowever, after this battle, not only was Tong Daofu missing,\nThe Imperial City Department was completely wiped out and completely discredited!","เหล่าแผนร้ายถูกวีรบุรุษไร้นามขัดขวางจนล้มเหลว\nเขากลายเป็นขวากหนามในสายตาของเหล่าอ๋องทั้งหลาย\nราชสำนักสั่งให้กองกำลังราชวงศ์รวมกับจอมยุทธ์ในวัง\nตลอดจนพรรคพวกในยุทธภพ ออกตามล่าหมายชีวิตเขา\nแต่ในศึกครั้งนั้น ไม่เพียงแต่ขุนนางใหญ่ถงเต๋าฟู่หายสาบสูญ\nกองกำลังราชสำนักยังถูกลบชื่อออกจากยุทธภพอย่างสิ้นเชิง!"
main-3b_2_6,"About this hero, no one knows his identity or the origin of his martial arts, we only know that he calls himself...",เกี่ยวกับยอดยุทธ์ผู้นี้ ไม่มีใครล่วงรู้ภูมิหลังหรือวิชาที่เขาฝึกปรือ เรารู้เพียงว่า เขาเรียกตัวเองว่า...
main-3b_2_7,Unnamed...,วีรบุรุษไร้นาม...
main-3b_2_8,"Later, this unnamed hero, for some reason, suddenly disappeared without a trace.",หลังจากนั้น ด้วยเหตุผลบางประการ วีรบุรุษไร้นามก็หายตัวไปอย่างลึกลับ
main-3b_2_9,"Although he disappeared, the three treasures that accompanied him through the world are still circulating in the martial arts world for some reason.",แต่แม้เขาจะจากไป สมบัติล้ำค่าทั้งสามที่เคยติดตัวเขากลับยังคงหลงเหลืออยู่ในยุทธภพ
main-3b_2_10,What are the three treasures?,แล้วสมบัติทั้งสามนั้นคืออะไรหรือ?
main-3b_2_11,"This young man will keep you in suspense for now, today's story ends here. If you want to know what happens next, please stay tuned for the next episode!",วันนี้ข้าขอเก็บไว้ก่อน ถึงตอนสำคัญแล้วต้องพักเสียที! ใครอยากฟังเรื่องราวต่อ เชิญติดตามในคราวหน้า!
main-3b_2_12,"Just when it gets to the most critical part, he leaves us hanging... Let's come back for the next story.",เฮ้อ… เล่ามาจนถึงจุดสำคัญแล้วยังมาทิ้งปริศนาอีก… คราวหน้าอย่าลืมมาเล่าต่อนะ
main-3c_1_1,"That Shuo Shuren has appeared again, let's go and listen to what strange tales he has to tell this time.",ว่ากันว่า โช่วชูเหริน นักเล่านิทานคนนั้นกลับมาอีกครั้ง ลองไปฟังดูว่าเขาจะเล่าอะไรต่อ
main-3c_name,Martial Arts Storyteller,นักเล่านิทานแห่งยุทธภพ
main-3c_log,"Shuo Shuren is telling the story of the nameless hero again, go and finish listening to the story.",โช่วชูเหริน เล่าเรื่องยอดยุทธ์ไร้นามอีกครั้ง ไปลองฟังดูว่าเขาจะเล่าอะไรต่อ
main-3c_2_1,"In the last story, this nameless hero mysteriously disappeared after accomplishing an extraordinary feat, leaving no trace.",คราวก่อนเล่าถึงยอดยุทธ์ไร้นาม ผู้สร้างตำนานอันยิ่งใหญ่ แต่กลับหายตัวไปอย่างลึกลับ
main-3c_2_2,"Although he disappeared, the three treasures that accompanied him throughout his adventures are still circulating in the martial arts world.",เขาแม้จะหายตัวไป แต่สมบัติล้ำค่าที่ติดตัวเขายังอยู่ และมีชื่อเสียงเลื่องลือในยุทธภพ
main-3c_2_3,"The first one is his protected treasure A, named ""Fubuki"".\nIt is impervious to swords and spears, and no ordinary means can harm it.","สมบัติชิ้นแรก คือสมบัติเกราะป้องกันตัว มีนามว่า “พายุหิมะ”\nฟันแทงไม่เข้า ไม่เลอะเลือด น้ำก็ไม่เกาะติด อาวุธธรรมดาไม่อาจทำอันตรายใดๆ ได้"
main-3c_2_4,"Secondly, it's his personal ring, named ""Shinsai"".\nA thousand-year-old jade, with extraordinary effects, doubles the efficiency of martial arts practice when worn.","สมบัติชิ้นที่สอง คือแหวนติดตัวชื่อว่า “หยกใจบริสุทธิ์”\nทำจากหยกเขียวพันปี มีพลังพิเศษ ช่วยให้ฝึกยุทธ์สำเร็จเร็วขึ้นสองเท่า"
main-3c_2_5,"The last one is his favorite weapon, named ""Secret Battle Box"".\nIt is a masterpiece of craftsmanship, containing machinery that can be freely assembled into a hundred different weapons to fight enemies.","สมบัติชิ้นสุดท้าย คืออาวุธคู่ใจชื่อว่า “กล่องสงครามเทวะ”\nประดิษฐ์อย่างยอดเยี่ยม มีอาวุธซ่อนกลในตัว สามารถแปลงเป็นอาวุธหลากชนิดได้ดั่งใจ"
main-3c_2_6,"Unfortunately, after a long struggle, each treasure was divided into three fragments by people.",แต่ช่างน่าเสียดาย หลังจากการช่วงชิงที่ยาวนาน สมบัติแต่ละชิ้นกลับถูกแบ่งแยกออกเป็นสามส่วนโดยฝีมือมนุษย์
main-3c_2_7,"It is said that nine sects in the martial arts world each hold a piece.\nBut which sects hold them is a secret of the martial arts world, and I don't know.","เล่าลือกันว่า ในปัจจุบันมีเก้าสำนักในยุทธภพ ที่ครอบครองชิ้นส่วนเหล่านี้\nแต่จะเป็นพรรคใดบ้าง นั่นเป็นความลับที่ข้าเองก็ไม่ทราบได้"
main-3c_2_8,"The world is bustling, all for profit.\nThe world is in turmoil, all for profit.","คนในยุทธภพต่างไขว่คว้าเพราะผลประโยชน์\nจึงทำให้เกิดศึกชิงสมบัติวุ่นวายไม่จบสิ้น"
main-3c_2_9,"Ladies and gentlemen, words alone are not enough, let's follow this young man to see how this chaotic martial arts world will develop.",ท่านผู้ชมทั้งหลาย การพูดเพียงอย่างเดียวคงไม่พอ ลองมาติดตามไปพร้อมกับข้าดูสิว่า ยุทธภพที่วุ่นวายนี้จะดำเนินไปอย่างไร
main-3c_2_10,Fubuki... Shinsai... Secret Battle Box...,พายุหิมะ... หยกใจบริสุทธิ์... กล่องสงครามเทวะ...
main-3c_2_11,Whoever can get these personal treasures of a martial arts legend will naturally have an extra chance of winning in the competition for the position of Jianghu Master...,สมบัติวิเศษเช่นนี้ ใครได้ครอบครองก็ย่อมมีโอกาสก้าวขึ้นเป็นผู้นำยุทธภพ!
main-3d_1_1,"To this day, two fragments have fallen into our {MyFaction} hands.",บัดนี้ {MyFaction}ของเราได้ครอบครองชิ้นส่วนสมบัติของวีรบุรุษไร้นามถึงสองชิ้นแล้ว
main-3d_1_2,"Although the progress is smooth, there are also many sects that have greatly swallowed other sects, and their strength is far above ours. It is difficult to predict the outcome of a head-on confrontation...",แม้ความคืบหน้าจะน่าพอใจ แต่กลับมีข่าวลือว่าหลายพรรคในยุทธภพเริ่มกลืนกินพรรคเล็กพรรคน้อย พวกนั้นแข็งแกร่งยิ่งกว่าสำนักเรา หากต้องปะทะกันตรงๆ ชัยชนะคงยากจะคาดเดา
main-3d_1_3,The usual methods are unlikely to significantly increase the strength of our sect in a short period of time.,วิธีการธรรมดา อาจยากที่จะทำให้พรรคเรามีฝีมือเหนือคู่แข่งในเวลาสั้นๆ
main-3d_1_4,"It seems that the only way is to search for and collect the fragments of the nameless hero's treasures like them, and pin our hopes on repairing the treasures.",ดูท่า ทางเดียวที่จะเพิ่มโอกาสชิงความเป็นใหญ่ คือการออกตามหาชิ้นส่วนสมบัติของยอดยุทธ์ไร้นามให้ครบถ้วน
main-3d_1_5,"The two pieces we currently hold are fragments of the Fubuki treasure A. As long as we snatch another piece from other sects, we can find a blacksmith to recast it!","ชิ้นส่วนที่เรามีตอนนี้ ล้วนเป็นชิ้นส่วนของ ""พายุหิมะ"" ชุดเกราะป้องกันตัว หากเราสามารถชิงชิ้นส่วนสุดท้ายจากพรรคอื่นได้ ก็จะสามารถนำไปให้ช่างเหล็กตีรวมคืนเป็นสมบัติชิ้นสมบูรณ์ได้!"
main-3e_1_1,"Recently, someone has repeatedly attacked our properties, causing huge losses, and many disciples have been injured.",ช่วงนี้มีคนลอบโจมตีธุรกิจของเราหลายครั้ง ก่อความเสียหายอย่างใหญ่หลวง ศิษย์หลายคนก็ได้รับบาดเจ็บ
main-3e_1_2,"What a bunch of cowards who dare not show their faces, they don't dare to attack our mountain entrance, they only vent their anger on the disciples.",ช่างเป็นพวกคนขลาดที่ไม่กล้าเผยตัว ไม่กล้าบุกขึ้นเขามาท้าทายเรา กลับไประบายอารมณ์กับศิษย์ของเราแทน
main-3e_1_3,"It is estimated that it is the remnants of the sects we conquered before causing trouble, send some people to deal with them.",เดาว่าเป็นพวกหลงเหลือจากพรรคที่เราปราบไปก่อนหน้านี้ ก่อความวุ่นวายอยู่ ส่งคนไปจัดการพวกมันเถอะ
main-3e_name,Revenge of the Remnants,การแก้แค้นของพวกหลงเหลือ
main-3e_log,"Some remnants of the sects you destroyed are seeking revenge, wearing Night clothes and causing destruction everywhere.",พวกหลงเหลือจากพรรคที่เจ้าทำลายล้าง รอโอกาสแก้แค้น สวมชุดดำออกก่อความเสียหายไปทั่ว
main-3e_2_1,Stop!,หยุดมือเดี๋ยวนี้!
main-3e_2_2,"Who are you, daring to commit atrocities and sabotage in secret!",พวกเจ้าเป็นใคร ถึงกล้ามาทำชั่วและลอบทำลายที่นี่!
main-3e_2_3,"You {MyFaction} forced our sect leader to submit with your superior martial arts, it's time to pay the price!",พวกเจ้า {MyFaction} อาศัยความแข็งแกร่งของวิทยายุทธ บีบบังคับหัวหน้าพรรคของเรา ถึงเวลาแล้วที่พวกเจ้าจะต้องชดใช้!
main-3e_2_4,"You even claim to restore the order of the martial arts world, what a joke.",ถึงขั้นอ้างว่าจะสร้างระเบียบใหม่ให้ยุทธภพ ช่างน่าหัวเราะเสียจริง
main-3e_2_5,You dare to show off your eloquence without even revealing your true identity? Take this!,แม้แต่ตัวตนจริงๆ ยังไม่กล้าเปิดเผย ยังกล้ามาโอ้อวดอีก? รับมือ!
main-3e_3_1,"You are so weak, next time you want revenge, bring some more powerful helpers!",ช่างไร้ฝีมือโดยแท้ หากคิดจะแก้แค้นครั้งหน้า ขอให้หาผู้ช่วยที่เก่งกว่านี้มาเถอะ!
main-3e_4_1,Uh... I didn't expect that we are not as skilled...,อืม…ไม่คิดเลยว่าเราจะฝีมือด้อยกว่าพวกเจ้า…
main-3e_4_2,Die!,รับความตายเสียเถิด!
main-3e_4_3,"Don't linger in battle, their reinforcements will arrive on Horse soon, we have achieved our goal, retreat first.",อย่าเสียเวลากับการรบ คนของพวกมันกำลังมาถึง เป้าหมายเราสำเร็จแล้ว รีบถอนตัว!
main-3e_4_4,You're lucky!,ถือว่าพวกเจ้าโชคดี!
main-4_1_1,"Finally gathered three pieces of the treasure, it's time to find Blacksmith to restore the treasure and bring back its former glory.",ในที่สุดก็รวบรวมชิ้นส่วนสมบัติมาได้ครบสามชิ้น ถึงเวลาหาช่างตีเหล็กเพื่อซ่อมแซมสมบัติ และคืนความรุ่งโรจน์ของมันแล้ว
main-4_1_2,Was the restoration successful?,ซ่อมแซมสำเร็จหรือยัง?
main-4_1_3,"It's indeed the personal treasure of the nameless hero, truly a masterpiece.\nI've tried thirteen different methods, but still failed...","สมแล้วที่เป็นสมบัติประจำตัวของยอดยุทธ์ไร้นาม ช่างประณีตงดงามยิ่งนัก\nข้าได้ลองวิธีการถึงสิบสามแบบแล้ว แต่ก็ยังล้มเหลว…"
main-4_1_4,"My skills are not refined enough, it seems I can't satisfy you.",ข้าไร้ฝีมือ ดูท่าคงไม่อาจทำให้พวกท่านพอใจได้
main-4_1_5,Is there another solution?,ยังพอมีวิธีอื่นอีกหรือไม่?
main-4_1_6,"Have you ever heard of the ""Ghost Hand Divine Craftsman""?","ท่านเคยได้ยินเรื่อง ""ช่างเทวะมือปีศาจ"" หรือไม่?"
main-4_1_7,"""Ghost Hand Divine Craftsman""? I've never heard of it.","""ช่างเทวะมือปีศาจ""? ข้าไม่เคยได้ยินมาก่อน"
main-4_1_8,"He is my senior brother, although he is eccentric, he specializes in the method of restoring objects.",เขาคือศิษย์พี่ของข้า แม้จะนิสัยประหลาดไปบ้าง แต่เขาชำนาญการซ่อมแซมวัตถุโดยเฉพาะ
main-4_1_9,"To be honest, the three most expensive antiques in the world were successfully restored by him. If he can't restore this object, I'm afraid no one else can.",ไม่ปิดบังพวกท่าน ของโบราณที่ล้ำค่าที่สุดสามชิ้นในแผ่นดิน ต่างผ่านการซ่อมแซมด้วยมือเขาทั้งสิ้น หากเขาไม่อาจซ่อมสิ่งนี้ได้ เกรงว่าไม่มีใครทำได้อีกแล้ว
main-4_1_10,Oh? How can I find this person?,โอ? แล้วเราจะหาตัวเขาได้อย่างไร?
main-4_1_11,"I heard that after his wife passed away, he secluded himself in a deep mountain forest. I'll draw you a map.",ได้ยินมาว่า หลังจากสูญเสียภรรยา เขาได้ไปใช้ชีวิตสันโดษในป่าลึก ข้าจะช่วยวาดแผนที่ให้
main-4_1_12,"With the map in hand, the next step is to invite him out of the mountain.",มื่อได้แผนที่แล้ว ก้าวต่อไปก็คือเชิญเขาออกจากป่า
main-4b_name,Main Quest,ภารกิจหลัก
main-4b_log,"Ordinary Blacksmiths can't repair the treasure fragments, only the mysterious Ghost Hand Blacksmith can.",ช่างตีเหล็กธรรมดาไม่อาจซ่อมแซมชิ้นส่วนสมบัติได้ ต้องขอร้องช่างเทวะมือปีศาจผู้ลึกลับออกมาช่วย
main-4b_1_1,You and a few others followed the map and finally found the secluded place of the Ghost Hand Divine Craftsman.,พวกเจ้าเดินทางตามแผนที่ไป ในที่สุดก็พบที่พำนักของช่างเทวะมือปีศาจ
main-4b_1_2,"Old Man, do you know where the Ghost Hand Divine Craftsman lives?",ท่านลุง ขอถามหน่อย ท่านรู้หรือไม่ว่าช่างเทวะมือปีศาจอยู่ที่ใด?
main-4b_1_3,What turtle? What sauce? I don't know.,อะไรเต่า? อะไรซอส? ข้าไม่รู้เรื่อง!
main-4b_1_4,"We're looking for an old predecessor who specializes in restoring objects, have you heard of him?",พวกเรากำลังตามหาผู้เฒ่าท่านหนึ่ง ที่เชี่ยวชาญเรื่องการซ่อมวัตถุโบราณ ท่านเคยได้ยินชื่อเขาหรือไม่?
main-4b_1_5,"I haven't heard of it, go away, don't disturb my rest.",ข้าไม่เคยได้ยิน รีบไปเถอะ อย่ามารบกวนการพักผ่อนของข้า
main-4b_1_6,"There are many poisonous insects and fierce beasts in the deep mountain forest, why are you so leisurely, Old Man?",ในป่าลึกนี้มักมีสัตว์ร้ายและแมลงมีพิษ ท่านลุงไฉนจึงดูสงบได้ถึงเพียงนี้?
main-4b_1_7,"I'm brave, not afraid!",ข้าหัวใจกล้า ไม่กลัวอะไรทั้งนั้น!
main-4b_1_8,Then why are your hands full of calluses and your eyes bright?,ถ้าเช่นนั้น เหตุใดฝ่ามือของท่านจึงเต็มไปด้วยรอยด้าน อีกทั้งดวงตายังดูเฉียบแหลมเป็นพิเศษ?
main-4b_1_9,I got it from farming.,ข้าทำไร่ไถนา ก็เลยเป็นอย่างนี้
main-4b_1_10,Where is your field?,แล้วไร่ของท่านอยู่ที่ใดกัน?
main-4b_1_11,Why should I tell you about my land?,ไร่ของข้า แล้วทำไมข้าต้องบอกเจ้าด้วย?
main-4b_1_12,"What a pity, we were originally looking for him to restore the treasure pieces of the nameless hero.\nSince we can't find the person, let's forget it.","น่าเสียดายจริง ๆ เดิมทีพวกเราอยากให้เขาช่วยซ่อมชิ้นส่วนสมบัติของยอดยุทธ์ไร้นาม\nในเมื่อหาตัวเขาไม่พบ เช่นนั้นก็ช่างเถอะ"
main-4b_1_14,"Let's go, we'll find someone else!",ไปเถอะ พวกเราจะไปหาผู้เชี่ยวชาญคนอื่นแทน
main-4b_1_15,Hold on!,ช้าก่อน!
main-4b_1_16,"Hmm? Old Man, do you have anything else?",หืม? ท่านลุงยังมีเรื่องอะไรอีกหรือ?
main-4b_1_17,Take a good look! I am the person you are looking for!,ดูให้ดีๆ! ข้านี่แหละคือคนที่พวกเจ้ากำลังตามหา!
main-4b_1_18,"You just keep farming, we don't lack food.",ท่านลุงปลูกข้าวของท่านต่อไปเถิด พวกเราไม่ได้ขาดแคลนอาหาร
main-4b_1_19,……,……
main-4b_1_20,What a provocation!,เป็นกลยุทธ์ยั่วโมโหที่ยอดเยี่ยมจริงๆ!
main-4b_1_21,Forget it! I'll go back with you.,ช่างเถิด! ข้าจะกลับไปกับพวกเจ้า
main-4b_1_22,"The nameless hero has been kind to me, I can't refuse to restore his treasure.\nBut you have to promise me, once I start repairing, you absolutely can't find someone else.","ยอดยุทธ์ไร้นามมีพระคุณต่อข้า เรื่องซ่อมสมบัติของเขานั้น ข้าไม่อาจปฏิเสธได้จริงๆ\nแต่พวกเจ้าต้องรับปากข้า หากให้ข้าซ่อมแล้ว ห้ามไปหาคนอื่นอีก"
main-4b_1_24,Deal!,ตกลงตามนั้น!
main-4b_1_25,"You returned to the sect, the Ghost Hand Divine Craftsman looked at the three pieces with great excitement",พวกเจ้ากลับมายังสำนัก ช่างเทวะมือปีศาจจ้องมองชิ้นส่วนทั้งสามด้วยความตื่นเต้นอย่างยิ่ง!
main-4b_1_26,"It's the real Fubuki!\nThis treasure is invincible to weapons and leaves no trace of blood, today I finally see it.","นี่คือเกราะ ""พายุหิมะ"" ที่แท้จริง!\nนี่คือเกราะวิเศษที่ทนต่ออาวุธทุกชนิด เลือดหยดลงไปก็ไม่ทิ้งร่องรอย วันนี้ข้าได้เห็นด้วยตาแล้ว!"
main-4b_1_28,"Leave the rest to me~ But let me tell you in advance, restoring such a treasure is exhausting and takes three months to properly repair, don't rush me!",ส่วนที่เหลือปล่อยให้ข้าจัดการเอง! แต่บอกไว้ก่อนนะ ของวิเศษแบบนี้การซ่อมแซมไม่ง่าย ต้องใช้เวลาสามเดือนเต็ม อย่ามาเร่งข้าเชียว!
main-4b_1_30,"Of course, thank you, Master Ghost Hand.",นั่นย่อมเป็นธรรมดา ต้องขอรบกวนท่านปรมาจารย์มือปีศาจแล้ว
main-5_1_1,Hahaha! It's done! It's done!,"""ฮ่าๆ ๆ! สำเร็จแล้ว! สำเร็จจริงๆ!"
main-5_1_2,"I've done you such a big favor, if you get the other six pieces in the future, you must give them to me!",ข้าช่วยพวกเจ้าครั้งใหญ่นี้ หากได้ชิ้นส่วนอีกหกชิ้นเมื่อไร ต้องนำมาให้ข้าอีก!
main-5_1_3,"Of course, besides you, we can't find a second person who is a master craftsman.",แน่นอน นอกจากท่านแล้ว คงไม่มีใครมีฝีมืออันเลิศล้ำเช่นนี้อีกแล้ว
main-5_1_4,"One of the three treasures has been obtained, I wonder which sect holds the pieces of the other two.",สมบัติสามชิ้น เราได้มาหนึ่ง ยังไม่รู้ว่าชิ้นส่วนอีกสองชิ้นตกอยู่ในมือสำนักใด
main-5_1_5,"There's a swordsman outside the door who wants to challenge our sect, he says...",ด้านนอกมีมือกระบี่มาขอท้าประลอง เขาบอกว่า...
main-5_1_6,"He said that he was spared by us last time, and after mastering the Challenging Fate skill, he came to teach us a lesson.",เขาบอกว่าครั้งก่อนพวกเราปล่อยเขาไป หลังจากนั้นเขาได้ฝึกฝนอย่างหนักจนสำเร็จวิชาล้ำเลิศ และมาวันนี้มาเยือนเพื่อขอคำชี้แนะ
main-5_1_7,"Perfect timing, let's test the power of this treasure!",มาก็ดี จะได้ลองทดสอบพลังของสมบัตินี้!
main-5_name,Main Quest,ภารกิจหลัก
main-5_log,Send disciples to deal with the swordsman.,ส่งศิษย์ไปจัดการกับมือกระบี่ผู้นั้น
main-5a_name,Main Quest,ภารกิจหลัก
main-5a_log,"A mysterious swordsman challenges at the door, claiming to fight to the death with the strongest in the sect.",มือกระบี่ลึกลับผู้หนึ่งมาท้าสู้ บอกว่าจะขอดวลกับผู้แข็งแกร่งที่สุดในสำนัก
main-5a_1_1,"I am not what I used to be, and I came to request!",วันนี้ข้าต่างจากวันวาน และข้ามาที่นี่เพื่อมาขอคำชี้แนะ!
main-5a_1_2,"You're persistent, it seems I have to beat you until you give up!",เจ้าช่างดื้อด้านนัก ถ้าข้าไม่ลงมือจัดการเจ้าวันนี้ เจ้าคงกลับมาวุ่นวายอีกแน่!
main-5a_1_3,"Hand over the treasure, or I won't let it go!",ส่งมอบสมบัติมา ไม่เช่นนั้นข้าจะไม่ปล่อยเจ้าไป!
main-5a_1_4,Let's see how much you can do!,งั้นต้องดูว่าเจ้ามีฝีมือเท่าไร!
main-5a_2_1,"Do you admit defeat? If not, let's fight again!",ยอมแล้วหรือยัง? ถ้ายังไม่ยอม เราสู้กันอีก!
main-5a_2_2,I admit defeat... I admit it... I'm not your opponent.,ยอมแล้ว... ยอมจริง ๆ... ข้าไม่ใช่คู่มือของท่าน
main-5a_2_3,"There will be more vagabonds coming for the treasure in the future, you better pray for luck.",ในอนาคตจะมีคนในยุทธภพมาแย่งชิงสมบัตินี้อีกมากมาย พวกเจ้าจงเตรียมตัวไว้ให้ดี
main-5a_2_4,"Let the soldiers block, it's a good opportunity to test my martial arts!",ใครมาข้าไม่กลัว ถือโอกาสนี้ฝึกปรือวรยุทธ์ของข้า!
main-5a_4_1,I didn't expect you to become so strong...,ไม่นึกเลยว่าเจ้าจะเก่งกล้าขึ้นถึงเพียงนี้...
main-5a_4_2,"Treasure, only those with strength deserve it, you don't!",สมบัติ มีเพียงผู้มีฝีมือเท่านั้นที่คู่ควร แต่เจ้าไม่คู่ควร!
main-5a_4_3,"With the treasure being stolen, your sect fell into decline and was soon lost in the dust of history.",สมบัติถูกแย่งไป สำนักของเจ้าถึงคราวตกต่ำ และในไม่ช้าก็สูญสลายไปในหน้าประวัติศาสตร์
main-5c_1_1,"I am the master of Sky Breaker Tower, here to visit the head of {MyFaction}.",ข้าคือปรมาจารย์แห่งหอสูงเทียมฟ้า ขอมาคารวะต่อท่านเจ้าสำนัก{MyFaction}
main-5c_1_2,Sky Breaker Tower?,หอสูงเทียมฟ้า?
main-5c_1_3,"Sky Breaker Tower is a hidden treasure tower in the martial arts world, with twelve floors in total.",หอสูงเทียมฟ้า เป็นหอคอยลับที่หลบซ่อนอยู่ในยุทธภพ มีทั้งสิ้น 12 ชั้น
main-5c_1_4,"Each floor is guarded by a hermit from the martial arts world, defeating them can earn rich rewards.",แต่ละชั้นจะมีผู้พิทักษ์คอยดูแล หากสามารถเอาชนะพวกเขาได้ จะได้รับรางวัลมากมาย
main-5c_1_5,"If you beat the highest twelfth floor, you will get an incredibly powerful mysterious feature.",หากพิชิตได้ถึงชั้นที่ 12 ท่านจะได้รับพลังลึกลับที่ทรงพลังอย่างยิ่ง
main-5c_1_6,"Unfortunately, in the past hundred years, only the nameless hero has reached the twelfth floor.",น่าเสียดาย ในรอบร้อยปีนี้ มีเพียงยอดยุทธ์ไร้นามเพียงคนเดียวเท่านั้น ที่สามารถขึ้นไปถึงชั้นสิบสองได้
main-5c_1_7,"When he came to Sky Breaker Tower, he was just a nobody in the martial arts world. I thought he would back down, but he didn't expect him to break through all twelve floors in one breath.",เมื่อครั้งนั้น เขายังเป็นเพียงจอมยุทธ์หน้าใหม่ในยุทธภพที่ไม่มีใครรู้จัก ข้าเคยคิดว่าเขาจะถอดใจกลางทาง แต่นึกไม่ถึงเขากลับสามารถพิชิตทั้ง 12 ชั้นได้ในคราวเดียว!
main-5c_1_8,"Now, your sect, which has obtained the treasure of the nameless hero, may be able to reproduce his past glory. Sky Breaker Tower opens every 6 months, and there will be guides to guide your disciples.",ตอนนี้สำนักของเจ้า ได้สมบัติของยอดยุทธ์ไร้นามแล้ว อาจจะสามารถฟื้นคืนความรุ่งเรืองของเขาได้อีกครั้ง หอสูงเทียมฟ้าจะเปิดทุกๆ 6 เดือน เมื่อถึงเวลาจะมีผู้นำทางชี้แนะศิษย์ของสำนักท่านไปยังที่นั้น
main-5c_1_9,"I look forward to the good news of your sect's successful challenge, goodbye!",ข้าจะรอฟังข่าวดีจากสำนักของท่านที่จะพิชิตหอคอยนี้ ข้าขอลา!
main-5c_1_10,Nameless hero... Sky Breaker Tower...,ยอดยุทธ์ไร้นาม... หอสูงเทียมฟ้า...
main-5c_1_11,Send someone to check it out then.,ถึงเวลาส่งคนไปสำรวจแล้ว
main-5d_1_1,What changes have there been in the martial arts world under this recent offensive?,ช่วงนี้การบุกโจมตีในยุทธภพมีผลเปลี่ยนแปลงใดบ้าง?
main-5d_1_2,Several sects have already agreed with our ideas and vowed to serve and no longer participate in disputes.,มีหลายสำนักที่ยอมรับแนวคิดของเรา และประกาศว่าจะไม่เข้าร่วมความขัดแย้งอีก
main-5d_1_3,"Good, our hard work and perseverance have paid off.",ดีมาก การเสียสละและความมุ่งมั่นของเรา ในที่สุดก็เริ่มเห็นผลตอบแทน
main-5d_1_4,"But last night, someone used a throwing knife to pin a letter to the entrance of our mountain, the words in the letter were almost a warning.",แต่เมื่อคืนก่อน มีคนลอบปาอาวุธลับผูกจดหมายมาปักไว้ที่หน้าประตูสำนัก คำในจดหมายนั้นเหมือนคำเตือนอย่างยิ่ง
main-5d_1_5,"Oh? It seems that our actions have caused dissatisfaction among many sects, bring it to me.",โอ้? ดูเหมือนการกระทำของพวกเราจะทำให้หลายสำนักไม่พอใจ ไหน นำจดหมายมาให้ข้าดูสิ
main-5d_1_6,"""Your sect has conquered many sects, showing superior strength and superb martial arts. But please remember, greed is not good, if your sect insists on expanding, it may become a thing of the past, and it will be too late to regret...""","""สำนักของท่านพิชิตหลากหลายสำนัก แสดงให้เห็นถึงฝีมืออันล้ำเลิศและวรยุทธ์ที่โดดเด่น แต่จงจำไว้ว่า คนที่ไม่รู้จักพออาจจบลงด้วยการล่มสลาย หากสำนักของท่านยังคงขยายอำนาจต่อไป ระวังเถิดจะกลายเป็นอดีตที่ไม่มีใครจดจำเสียก่อนที่จะแก้ไขได้..."""
main-5d_1_7,"Interesting, very interesting indeed!",น่าสนใจ น่าสนใจจริงๆ!
